1992,1,1
1992,2,0
1992,3,0
1992,4,8
1992,5,30
1992,6,32
1992,7,33
1992,8,55
1992,9,27
1992,10,8
1992,11,5
1992,12,2
1993,1,4
1993,2,2
1993,3,2
1993,4,2
1993,5,21
1993,6,19
1993,7,33
1993,8,20
1993,9,31
1993,10,13
1993,11,11
1993,12,2
1994,1,0
1994,2,1
1994,3,1
1994,4,2
1994,5,11
1994,6,31
1994,7,43
1994,8,35
1994,9,16
1994,10,5
1994,11,3
1994,12,1
1995,1,5
1995,2,2
1995,3,0
1995,4,3
1995,5,4
1995,6,19
1995,7,23
1995,8,35
1995,9,19
1995,10,27
1995,11,8
1995,12,1
1996,1,0
1996,2,0
1996,3,2
1996,4,9
1996,5,24
1996,6,42
1996,7,35
1996,8,49
1996,9,12
1996,10,18
1996,11,5
1996,12,1
1997,1,0
1997,2,0
1997,3,2
1997,4,9
1997,5,24
1997,6,17
1997,7,34
1997,8,29
1997,9,7
1997,10,13
1997,11,1
1997,12,0
1998,1,1
1998,2,0
1998,3,1
1998,4,2
1998,5,2
1998,6,10
1998,7,27
1998,8,41
1998,9,19
1998,10,18
1998,11,3
1998,12,3
1999,1,0
1999,2,1
1999,3,3
1999,4,2
1999,5,13
1999,6,17
1999,7,41
1999,8,52
1999,9,26
1999,10,17
1999,11,2
1999,12,6
2000,1,2
2000,2,0
2000,3,1
2000,4,3
2000,5,6
2000,6,16
2000,7,26
2000,8,19
2000,9,15
2000,10,10
2000,11,2
2000,12,3
2001,1,0
2001,2,1
2001,3,2
2001,4,2
2001,5,19
2001,6,23
2001,7,23
2001,8,28
2001,9,18
2001,10,9
2001,11,5
2001,12,0
2002,1,3
2002,2,3
2002,3,2
2002,4,4
2002,5,18
2002,6,27
2002,7,27
2002,8,16
2002,9,14
2002,10,9
2002,11,11
2002,12,0
2003,1,0
2003,2,3
2003,3,1
2003,4,0
2003,5,8
2003,6,18
2003,7,49
2003,8,38
2003,9,27
2003,10,21
2003,11,3
2003,12,1
2004,1,0
2004,2,1
2004,3,0
2004,4,6
2004,5,17
2004,6,18
2004,7,36
2004,8,23
2004,9,15
2004,10,7
2004,11,0
2004,12,1
2005,1,2
2005,2,0
2005,3,0
2005,4,2
2005,5,6
2005,6,21
2005,7,33
2005,8,31
2005,9,15
2005,10,7
2005,11,6
2005,12,1
2006,1,7
2006,2,6
2006,3,1
2006,4,0
2006,5,14
2006,6,23
2006,7,61
2006,8,25
2006,9,16
2006,10,19
2006,11,6
2006,12,10
2007,1,5
2007,2,2
2007,3,9
2007,4,7
2007,5,26
2007,6,31
2007,7,41
2007,8,27
2007,9,23
2007,10,25
2007,11,9
2007,12,2
2008,1,4
2008,2,2
2008,3,7
2008,4,11
2008,5,23
2008,6,115
2008,7,30
2008,8,31
2008,9,29
2008,10,17
2008,11,12
2008,12,1
2009,1,1
2009,2,2
2009,3,6
2009,4,8
2009,5,25
2009,6,21
2009,7,33
2009,8,35
2009,9,22
2009,10,8
2009,11,5
2009,12,1
2010,1,0
2010,2,1
2010,3,2
2010,4,1
2010,5,6
2010,6,19
2010,7,37
2010,8,27
2010,9,17
2010,10,10
2010,11,7
2010,12,1
2011,1,3
2011,2,1
2011,3,1
2011,4,3
2011,5,18
2011,6,42
2011,7,39
2011,8,22
2011,9,40
2011,10,12
2011,11,9
2011,12,9
2012,1,1
2012,2,6
2012,3,5
2012,4,4
2012,5,17
2012,6,28
2012,7,26
2012,8,32
2012,9,21
2012,10,5
2012,11,3
2012,12,1
2013,1,14
2013,2,6
2013,3,8
2013,4,9
2013,5,34
2013,6,24
2013,7,20
2013,8,30
2013,9,17
2013,10,15
2013,11,13
2013,12,7
2014,1,0
2014,2,4
2014,3,3
2014,4,5
2014,5,15
2014,6,22
2014,7,35
2014,8,11
2014,9,7
2014,10,7
2014,11,3
2014,12,1
2015,1,0
2015,2,2
2015,3,5
2015,4,12
2015,5,12
2015,6,23
2015,7,35
2015,8,23
2015,9,7
2015,10,11
2015,11,4
2015,12,1
